FECHA_INSCRIPCION,FECHA_NACIMIENTO,GENERO,DESCRIPCION_SUBTIPO
23JUN2022:14:43:11,22MAR2010:00:00:00,Masculino,Adopción Plena
09MAY2022:10:17:38,25OCT2011:00:00:00,Masculino,Adopción Plena
20APR2022:11:57:29,21AUG1976:00:00:00,Masculino,Adopción Plena
14JUN2022:11:28:28,05NOV2010:00:00:00,Femenino,Adopción Plena
23MAR2022:08:10:49,20MAR2017:00:00:00,Femenino,Adopción Plena
22JUN2022:11:40:17,04SEP2008:00:00:00,Femenino,Adopción Plena
10JUN2022:18:26:37,18FEB2012:00:00:00,Femenino,Adopción Plena
10JUN2022:18:31:12,15JAN1993:00:00:00,Masculino,Adopción Plena
14JUN2022:23:27:35,27SEP2013:00:00:00,Femenino,Adopción Plena
15JUN2022:00:08:55,04MAR2015:00:00:00,Masculino,Adopción Plena
26APR2022:09:44:35,28DEC2014:00:00:00,Masculino,Adopción Plena
26APR2022:09:54:26,29DEC1983:00:00:00,Masculino,Adopción Plena
23JUN2022:12:48:48,30JAN2019:00:00:00,Femenino,Adopción Plena
23JUN2022:12:57:31,30JAN2019:00:00:00,Femenino,Adopción Plena
25FEB2022:09:24:24,23FEB1998:00:00:00,Masculino,Adopción Plena
06JUN2022:12:00:37,10SEP1993:00:00:00,Femenino,Adopción Plena
06JUN2022:13:03:15,03OCT2011:00:00:00,Femenino,Adopción Plena
01JUN2022:11:41:27,05JAN2011:00:00:00,Masculino,Adopción Plena
01JUN2022:12:29:11,14MAY2012:00:00:00,Masculino,Adopción Plena
06JUN2022:11:51:12,27OCT1994:00:00:00,Femenino,Adopción Plena
07JUN2022:09:11:20,15SEP2012:00:00:00,Femenino,Adopción Plena
07JUN2022:09:30:08,28JUN2010:00:00:00,Femenino,Adopción Plena
21MAR2022:15:52:32,26JUN2019:00:00:00,Femenino,Adopción Plena
10MAR2022:09:17:11,24MAR2017:00:00:00,Femenino,Adopción Plena
26MAY2022:13:44:30,11SEP2009:00:00:00,Femenino,Adopción Plena
10MAR2022:09:19:30,09JUL2016:00:00:00,Femenino,Adopción Plena
18APR2022:09:03:11,25APR2010:00:00:00,Masculino,Adopción Plena
25FEB2022:14:20:30,05SEP2018:00:00:00,Femenino,Adopción Plena
